Zone Name;Country Iso;All ranges;Zip code from;Zip code to
ZONE 2- LATVIA;LV;0;LV-3410;LV-3410
ZONE 2- LATVIA;LV;0;LV-3411;LV-3411
ZONE 2- LATVIA;LV;0;LV-3412;LV-3412
ZONE 2- LATVIA;LV;0;LV-3414;LV-3414
ZONE 2- LATVIA;LV;0;LV-3416;LV-3417
ZONE 2- LATVIA;LV;0;LV-3600;LV-3600
ZONE 2- LATVIA;LV;0;LV-3601;LV-3602
ZONE 2- LATVIA;LV;0;LV-3603;LV-3603
ZONE 2- LATVIA;LV;0;LV-3604;LV-3604
ZONE 2- LATVIA;LV;0;LV-3605;LV-3605
ZONE 2- LATVIA;LV;0;LV-3606;LV-3606
ZONE 2- LATVIA;LV;0;LV-3700;LV-3700
ZONE 2- LATVIA;LV;0;LV-3701;LV-3701
ZONE 2- LATVIA;LV;0;LV-3702;LV-3702
ZONE 2- LATVIA;LV;0;LV-3704;LV-3704
ZONE 2- LATVIA;LV;0;LV-3705;LV-3705
ZONE 2- LATVIA;LV;0;LV-3800;LV-3800
ZONE 2- LATVIA;LV;0;LV-3801;LV-3801
ZONE 2- LATVIA;LV;0;LV-3900;LV-3900
ZONE 2- LATVIA;LV;0;LV-3901;LV-3902
ZONE 2- LATVIA;LV;0;LV-3923;LV-3923
ZONE 2- LATVIA;LV;0;LV-4000;LV-4000
ZONE 2- LATVIA;LV;0;LV-4001;LV-4001
ZONE 2- LATVIA;LV;0;LV-4100;LV-4100
ZONE 2- LATVIA;LV;0;LV-4101;LV-4101
ZONE 2- LATVIA;LV;0;LV-4102;LV-4102
ZONE 2- LATVIA;LV;0;LV-4103;LV-4103
ZONE 2- LATVIA;LV;0;LV-4200;LV-4201
ZONE 2- LATVIA;LV;0;LV-4202;LV-4202
ZONE 2- LATVIA;LV;0;LV-4300;LV-4300
ZONE 2- LATVIA;LV;0;LV-4301;LV-4301
ZONE 2- LATVIA;LV;0;LV-4302;LV-4302
ZONE 2- LATVIA;LV;0;LV-4400;LV-4400
ZONE 2- LATVIA;LV;0;LV-4401;LV-4401
ZONE 2- LATVIA;LV;0;LV-4500;LV-4500
ZONE 2- LATVIA;LV;0;LV-4501;LV-4501
ZONE 2- LATVIA;LV;0;LV-4600;LV-4600
ZONE 2- LATVIA;LV;0;LV-4601;LV-4601
ZONE 2- LATVIA;LV;0;LV-4603;LV-4604
ZONE 2- LATVIA;LV;0;LV-4605;LV-4605
ZONE 2- LATVIA;LV;0;LV-4700;LV-4700
ZONE 2- LATVIA;LV;0;LV-4701;LV-4701
ZONE 2- LATVIA;LV;0;LV-4800;LV-4800
ZONE 2- LATVIA;LV;0;LV-4801;LV-4801
ZONE 2- LATVIA;LV;0;LV-5000;LV-5000
ZONE 2- LATVIA;LV;0;LV-5001;LV-5002
ZONE 2- LATVIA;LV;0;LV-5003;LV-5003
ZONE 2- LATVIA;LV;0;LV-5100;LV-5100
ZONE 2- LATVIA;LV;0;LV-5101;LV-5102
ZONE 2- LATVIA;LV;0;LV-5103;LV-5103
ZONE 2- LATVIA;LV;0;LV-5200;LV-5200
ZONE 2- LATVIA;LV;0;LV-5201;LV-5202
ZONE 2- LATVIA;LV;0;LV-5204;LV-5204
ZONE 2- LATVIA;LV;0;LV-5205;LV-5205
ZONE 2- LATVIA;LV;0;LV-5206;LV-5206
ZONE 2- LATVIA;LV;0;LV-5207;LV-5207
ZONE 2- LATVIA;LV;0;LV-5300;LV-5300
ZONE 2- LATVIA;LV;0;LV-5301;LV-5301
ZONE 2- LATVIA;LV;0;LV-5400;LV-5400
ZONE 2- LATVIA;LV;0;LV-5401;LV-5401
ZONE 2- LATVIA;LV;0;LV-5403;LV-5403
ZONE 2- LATVIA;LV;0;LV-5404;LV-5405
ZONE 2- LATVIA;LV;0;LV-5406;LV-5406
ZONE 2- LATVIA;LV;0;LV-5410;LV-5410
ZONE 2- LATVIA;LV;0;LV-5412;LV-5415
ZONE 2- LATVIA;LV;0;LV-5416;LV-5416
ZONE 2- LATVIA;LV;0;LV-5417;LV-5418
ZONE 2- LATVIA;LV;0;LV-5419;LV-5419
ZONE 2- LATVIA;LV;0;LV-5420;LV-5420
ZONE 2- LATVIA;LV;0;LV-5421;LV-5422
ZONE 2- LATVIA;LV;0;LV-5600;LV-5600
ZONE 2- LATVIA;LV;0;LV-5601;LV-5601
ZONE 2- LATVIA;LV;0;LV-5602;LV-5602
ZONE 2- LATVIA;LV;0;LV-5700;LV-5700
ZONE 2- LATVIA;LV;0;LV-5701;LV-5701
ZONE 3- LATVIA;LV;0;LV-3010;LV-3010
ZONE 3- LATVIA;LV;0;LV-3011;LV-3012
ZONE 3- LATVIA;LV;0;LV-3014;LV-3015
ZONE 3- LATVIA;LV;0;LV-3016;LV-3018
ZONE 3- LATVIA;LV;0;LV-3020;LV-3020
ZONE 3- LATVIA;LV;0;LV-3021;LV-3023
ZONE 3- LATVIA;LV;0;LV-3025;LV-3025
ZONE 3- LATVIA;LV;0;LV-3026;LV-3027
ZONE 3- LATVIA;LV;0;LV-3028;LV-3028
ZONE 3- LATVIA;LV;0;LV-3029;LV-3029
ZONE 3- LATVIA;LV;0;LV-3031;LV-3031
ZONE 3- LATVIA;LV;0;LV-3032;LV-3032
ZONE 3- LATVIA;LV;0;LV-3033;LV-3034
ZONE 3- LATVIA;LV;0;LV-3036;LV-3036
ZONE 3- LATVIA;LV;0;LV-3037;LV-3037
ZONE 3- LATVIA;LV;0;LV-3039;LV-3039
ZONE 3- LATVIA;LV;0;LV-3040;LV-3040
ZONE 3- LATVIA;LV;0;LV-3042;LV-3043
ZONE 3- LATVIA;LV;0;LV-3044;LV-3044
ZONE 3- LATVIA;LV;0;LV-3045;LV-3045
ZONE 3- LATVIA;LV;0;LV-3110;LV-3110
ZONE 3- LATVIA;LV;0;LV-3112;LV-3112
ZONE 3- LATVIA;LV;0;LV-3113;LV-3113
ZONE 3- LATVIA;LV;0;LV-3114;LV-3114
ZONE 3- LATVIA;LV;0;LV-3115;LV-3115
ZONE 3- LATVIA;LV;0;LV-3116;LV-3116
ZONE 3- LATVIA;LV;0;LV-3117;LV-3117
ZONE 3- LATVIA;LV;0;LV-3118;LV-3120
ZONE 3- LATVIA;LV;0;LV-3121;LV-3121
ZONE 3- LATVIA;LV;0;LV-3122;LV-3124
ZONE 3- LATVIA;LV;0;LV-3125;LV-3125
ZONE 3- LATVIA;LV;0;LV-3126;LV-3126
ZONE 3- LATVIA;LV;0;LV-3127;LV-3127
ZONE 3- LATVIA;LV;0;LV-3128;LV-3129
ZONE 3- LATVIA;LV;0;LV-3130;LV-3130
ZONE 3- LATVIA;LV;0;LV-3131;LV-3133
ZONE 3- LATVIA;LV;0;LV-3134;LV-3135
ZONE 3- LATVIA;LV;0;LV-3136;LV-3136
ZONE 3- LATVIA;LV;0;LV-3137;LV-3137
ZONE 3- LATVIA;LV;0;LV-3138;LV-3138
ZONE 3- LATVIA;LV;0;LV-3139;LV-3139
ZONE 3- LATVIA;LV;0;LV-3140;LV-3140
ZONE 3- LATVIA;LV;0;LV-3141;LV-3141
ZONE 3- LATVIA;LV;0;LV-3142;LV-3142
ZONE 3- LATVIA;LV;0;LV-3143;LV-3143
ZONE 3- LATVIA;LV;0;LV-3145;LV-3148
ZONE 3- LATVIA;LV;0;LV-3251;LV-3251
ZONE 3- LATVIA;LV;0;LV-3253;LV-3253
ZONE 3- LATVIA;LV;0;LV-3257;LV-3258
ZONE 3- LATVIA;LV;0;LV-3260;LV-3262
ZONE 3- LATVIA;LV;0;LV-3263;LV-3263
ZONE 3- LATVIA;LV;0;LV-3264;LV-3264
ZONE 3- LATVIA;LV;0;LV-3265;LV-3265
ZONE 3- LATVIA;LV;0;LV-3266;LV-3266
ZONE 3- LATVIA;LV;0;LV-3267;LV-3267
ZONE 3- LATVIA;LV;0;LV-3268;LV-3268
ZONE 3- LATVIA;LV;0;LV-3270;LV-3270
ZONE 3- LATVIA;LV;0;LV-3273;LV-3273
ZONE 3- LATVIA;LV;0;LV-3275;LV-3275
ZONE 3- LATVIA;LV;0;LV-3276;LV-3276
ZONE 3- LATVIA;LV;0;LV-3278;LV-3278
ZONE 3- LATVIA;LV;0;LV-3280;LV-3281
ZONE 3- LATVIA;LV;0;LV-3283;LV-3285
ZONE 3- LATVIA;LV;0;LV-3287;LV-3287
ZONE 3- LATVIA;LV;0;LV-3291;LV-3292
ZONE 3- LATVIA;LV;0;LV-3294;LV-3294
ZONE 3- LATVIA;LV;0;LV-3297;LV-3297
